Day,Age,"Ad set name","Ad name","Campaign name","Account name","Account ID",Reach,Impressions,"Attribution setting",Frequency,"Amount spent (USD)","Link clicks",Purchases,"Mobile app purchases","Website purchases","Cost per purchase","App Installs","Mobile app installs","Desktop app installs","Cost per App Install","Landing page views","New messaging connections","Cost per new messaging connection","Messaging conversations started","CPM (cost per 1,000 impressions)","Campaign delivery","Post reactions","Post engagement","Post shares","Cost per Page engagement","Cost per landing page view","Reporting starts","Reporting ends","Campaign name","Clicks (all)","CPC (cost per link click)","100% VTR","50% VTR","25% VTR","75% VTR","CTR (link click-through rate)","Delivery status","Delivery level","Result Type","Cost per result",Results,"Page engagement",ThruPlays,"Result rate"
2023-05-09,55-64,"[Rajshahi to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,1,1,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,55-64,"[Dhaka to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,1,2,"7-day click or 1-day view",2,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,55-64,"[Chittagong to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,1,1,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,35-44,"[Chittagong to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,28,62,"7-day click or 1-day view",2.2142857142857,0.01,,,,,,,,,,,,,,0.16129032,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",1,,0,0,0,0,,active,ad,,,,,,
2023-05-09,45-54,"[Chittagong to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,6,10,"7-day click or 1-day view",1.6666666666667,0.01,,,,,,,,,,,,,,1,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,45-54,"[PAN BD] Custom Audience: all_customer_2020, 2021, 2022_with_value.csv","PAN BD Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,10,11,"7-day click or 1-day view",1.1,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,35-44,"[PAN BD] Custom Audience: all_customer_2020, 2021, 2022_with_value.csv","PAN BD Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,27,29,"7-day click or 1-day view",1.0740740740741,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,18-24,"[PAN BD] Custom Audience: all_customer_2020, 2021, 2022_with_value.csv","PAN BD Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,81,89,"7-day click or 1-day view",1.0987654320988,0,,,,,,,,,,,,,,0,active,1,1,,0,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",1,,0,0,0,0,,active,ad,,,,1,,
2023-05-09,25-34,"[PAN BD] Custom Audience: all_customer_2020, 2021, 2022_with_value.csv","PAN BD Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,186,207,"7-day click or 1-day view",1.1129032258065,0.03,,,,,,,,,,,,,,0.14492754,active,1,1,,0.03,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",5,,0,0,0,0,,active,ad,,,,1,,
2023-05-09,45-54,"[Dhaka to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,83,131,"7-day click or 1-day view",1.578313253012,0.05,,,,,,,,,,,,,,0.38167939,active,1,2,,0.025,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",2,,0,0,0,0,,active,ad,,,,2,,
2023-05-09,35-44,"Remarketing: People who follow the page and engaged users in post/ads last 30 days","Brand Motion - Traffic","2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,8,8,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB",0,,0,,,,,active,ad,,,,,,
2023-05-09,55-64,"[Cox bazar & Teknaf to Pan BD productset] Custom Audience: Bdtickets website visitor 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,1,1,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,35-44,"[Cox bazar & Teknaf to Pan BD productset] Custom Audience: Bdtickets website visitor 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,101,196,"7-day click or 1-day view",1.9405940594059,0.03,,,,,,,,,,,,,,0.15306122,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",1,,0,0,0,0,,active,ad,,,,,,
2023-05-09,45-54,"[Rangpur to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,1,1,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,35-44,"[Rangpur to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,4,4,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,25-34,"[Rangpur to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,24,39,"7-day click or 1-day view",1.625,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,18-24,"[Rangpur to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,40,69,"7-day click or 1-day view",1.725,0.02,,1,,1,0.02,,,,,,,,,0.28985507,active,,1,,0.02,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",5,,0,0,0,0,,active,ad,,,1,1,,1.4492753623188
2023-05-09,45-54,"[Rajshahi to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,9,11,"7-day click or 1-day view",1.2222222222222,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,18-24,"Remarketing: People who follow the page and engaged users in post/ads last 30 days","Brand Motion - Traffic","2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,9,9,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,1,,0,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB",0,,0,,0.11111111,,,active,ad,,,,1,,
2023-05-09,45-54,"Remarketing: People who follow the page and engaged users in post/ads last 30 days","Brand Motion - Traffic","2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,1,1,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB",0,,0,,,,,active,ad,,,,,,
2023-05-09,45-54,"[Khulna to Pan BD productset] Custom Audience: People who visit website last 90 days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,2,2,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",0,,0,0,0,0,,active,ad,,,,,,
2023-05-09,25-34,"Bdtickets website visitors, 90 Days – Copy","Eid bridge holiday Campaign - Sales","2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB","BD Tickets - HP -BD - USD",263602211734258,0,0,"7-day click or 1-day view",0,0,,1,,1,0,,,,,,,,,,inactive,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB",0,,,,,,,not_delivering,ad,,,1,,,
2023-05-09,18-24,"all_customer_2022_with_value.csv, all_customer_2021_with_value.csv, all_customer_2020_with_value.csv","Eid bridge holiday Campaign - Sales","2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB","BD Tickets - HP -BD - USD",263602211734258,0,0,"7-day click or 1-day view",0,0,,,,,,,,,,,,,,,inactive,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB",0,,,,,,,not_delivering,ad,,,,,,
2023-05-09,25-34,"all_customer_2022_with_value.csv, all_customer_2021_with_value.csv, all_customer_2020_with_value.csv","Eid bridge holiday Campaign - Sales","2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB","BD Tickets - HP -BD - USD",263602211734258,0,0,"7-day click or 1-day view",0,0,,,,,,,,,,,,,,,inactive,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB",0,,,,,,,not_delivering,ad,,,,,,
2023-05-09,45-54,"Eid communication Video viewers","Eid bridge holiday Campaign - Sales","2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB","BD Tickets - HP -BD - USD",263602211734258,0,0,"7-day click or 1-day view",0,0,,,,,,,,,,,,,,,inactive,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB",0,,,,,,,not_delivering,ad,,,,,,
2023-05-09,35-44,"Eid communication Video viewers","Eid bridge holiday Campaign - Sales","2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB","BD Tickets - HP -BD - USD",263602211734258,0,0,"7-day click or 1-day view",0,0,,,,,,,,,,,,,,,inactive,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB",0,,,,,,,not_delivering,ad,,,,,,
2023-05-09,25-34,"Eid communication Video viewers","Eid bridge holiday Campaign - Sales","2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB","BD Tickets - HP -BD - USD",263602211734258,0,0,"7-day click or 1-day view",0,0,,1,,1,0,,,,,,,,,,inactive,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB",0,,,,,,,not_delivering,ad,,,1,,,
2023-05-09,18-24,"Eid communication Video viewers","Eid bridge holiday Campaign - Sales","2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB","BD Tickets - HP -BD - USD",263602211734258,0,0,"7-day click or 1-day view",0,0,,,,,,,,,,,,,,,inactive,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB",0,,,,,,,not_delivering,ad,,,,,,
2023-05-09,55-64,"Bdtickets website visitors, 90 Days – Copy","Eid bridge holiday Campaign - Sales","2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB","BD Tickets - HP -BD - USD",263602211734258,0,0,"7-day click or 1-day view",0,0,,,,,,,,,,,,,,,inactive,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB",0,,,,,,,not_delivering,ad,,,,,,
2023-05-09,18-24,"Bdtickets website visitors, 90 Days – Copy","Eid bridge holiday Campaign - Sales","2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB","BD Tickets - HP -BD - USD",263602211734258,0,0,"7-day click or 1-day view",0,0,,,,,,,,,,,,,,,inactive,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB",0,,,,,,,not_delivering,ad,,,,,,
2023-05-09,25-34,"[Sylhet to Pan BD productset] Custom Audience: Bdtickets website visitors last 90 Days","Travel Ads - Catalog Sales","2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,12,14,"7-day click or 1-day view",1.1666666666667,0,,,,,,,,,,,,,,0,active,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$791.00_CPR- $1_791_RobiDS_BDTickets_1.027Mn_Always On Catalog sales_Apr 16-Jun 30_All FB",1,,0,0,0,0,,active,ad,,,,,,
2023-05-09,65+,"Bdtickets website visitors, 90 Days – Copy","Eid bridge holiday Campaign - Sales","2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB","BD Tickets - HP -BD - USD",263602211734258,0,0,"7-day click or 1-day view",0,0,,,,,,,,,,,,,,,inactive,,,,,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Conversions_$237.00_CPR- $1_237_RobiDS_BDTickets_1.027Mn_Eid bridge holiday Campaign_Apr 25-May 4_All FB",0,,,,,,,not_delivering,ad,,,,,,
2023-05-09,18-24,"Custom Audience: Lookalike (1%) - Purchaser last 180 days","Bus Motion - Traffic","2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,3,3,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,1,,0,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB",0,,,,0.33333333,,,active,ad,,,,1,,
2023-05-09,45-54,"Custom Audience: Lookalike (1%) - Purchaser last 180 days","Bus Motion - Traffic","2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,4,4,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,2,,0,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB",0,,,0.25,0.25,0.25,,active,ad,,,,2,,
2023-05-09,35-44,"Custom Audience: Lookalike (1%) - Purchaser last 180 days","Bus Motion - Traffic","2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB","BD Tickets - HP -BD - USD",263602211734258,10,10,"7-day click or 1-day view",1,0,,,,,,,,,,,,,,0,active,,7,,0,,2023-05-09,2023-05-09,"2304124581_P01|4800019312|Website||_Traffic_$395.00_CPR- $0.06_6,583_RobiDS_BDTickets_1.027Mn_Always On Traffic_Apr 16-Jun 30_All FB",0,,0.5,0.6,0.6,0.6,,active,ad,,,,7,5,
